_time,bad_hall_sequence,bridge_pwm_flag,bus_current,bus_current_flag,bus_voltage,bus_voltage_lower_limit_flag,bus_voltage_upper_limit_flag,config_read_error,current_setpoint,dc_bus_overvoltage,desired_velocity,heat_sink_temp_flag,heatsink_temperature,hw_overcurrent,motor_current_flag,motor_temperature,motor_velocity,phase_a_current,phase_b_current,sw_overcurrent,undervoltage_lockout,vehicle_velocity,velocity_flag,watchdog_reset
2023-09-30T22:40:40Z,0.0,0.0,0.0,0.0,104.783395385742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2821838378906,0.0,0.0,31.6669494628906,0.0,0.265669822692871,0.345069169998169,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:40:50Z,0.0,0.0,0.0,0.0,104.826081593831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1730041503906,0.0,0.0,31.2893778483073,0.0,0.230473279953003,0.318580865859985,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:41:00Z,0.0,0.0,0.0,0.0,104.864745246039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1010175432478,0.0,0.0,31.0957162039621,0.0,0.315630435943604,0.257706642150879,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:41:10Z,0.0,0.0,0.0,0.0,104.897783551897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0162658691406,0.0,0.0,30.9288635253906,0.0,0.260591506958008,0.349044799804687,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:41:20Z,0.0,0.0,0.0,0.0,104.927408490862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9580208914621,0.0,0.0,30.7494550432478,0.0,0.28458833694458,0.292515754699707,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:41:30Z,0.0,0.0,0.0,0.0,104.928507486979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8980320521763,0.0,0.0,30.523450578962,0.0,0.223708152770996,0.265231132507324,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:41:40Z,0.0,0.0,0.0,0.0,104.957152279941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8380432128906,0.0,0.0,30.4230041503906,0.0,0.274688005447388,0.324350595474243,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:41:50Z,0.0,0.0,0.0,0.0,104.969129435221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7886291503906,0.0,0.0,30.2999572753906,0.0,0.291132926940918,0.33109188079834,0.0,0.0,0.0,0.0,0.0
2023-09-30T22:42:00Z,0.0,0.022222222222222,2.70877520243327,0.0,104.627920532227,0.0,0.0,0.0,0.444853902100883,0.0,-8.08510638297872,0.0,22.7130432128906,0.0,0.777777777777778,30.1813049316406,-21.8170674112108,35.4470850626628,29.1884860992432,0.0,0.0,-0.525475981334845,0.0,0.0
2023-09-30T22:42:10Z,0.0,0.044444444444445,8.55966806411743,0.0,103.849618148804,0.0,0.0,0.0,0.592994206986929,0.0,-10.0,0.0,22.8800354003906,0.0,0.955555555555556,30.3204650878906,-55.5865178108215,43.1719502040318,42.3975704738072,0.0,0.0,-1.33883161097765,0.0,0.0
2023-09-30T22:42:20Z,0.0,0.022727272727273,6.15184545516968,0.0,104.08543586731,0.0,0.0,0.0,0.465117600042302,0.0,-9.8876404494382,0.0,23.2149963378906,0.0,0.977272727272727,30.6427307128906,-74.5811903211806,28.3605457544327,29.7109863758087,0.0,0.0,-1.79632873005337,0.0,0.0
